"Fraction","ASV","relab_sum","shap_p","Year","Month","Species","Rotation","Nitrogen","Block","Rep","Residual","Kingdom","Phylum","Class","Order","Family","Genus","species","taxa"
"bulk soil","asv_000138",0.836068801230188,0.445058585351688,0.22931057,2.56788269,8.28e-05,0,0.62598533,0.96580804,0,95.61093057,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000164",0.794832030406387,0.000108411369136809,0.0003464,6.18931698,2.916e-05,0.7930048,0,1.34035543,1.359e-05,91.67693363,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000244",0.753980559577987,0.0682247903746476,22.87098646,3.01569097,13.83186612,1.12945047,0,0.15483488,0.00235867,58.99481243,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000544",0.605141052581119,0.719730480471766,0.65340521,1.49e-06,2.91e-06,7e-08,0.88453337,2e-07,7.16210557,91.29995118,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"bulk soil","asv_000268",0.582695241438284,0.569977017022932,28.47217857,3.45109321,9.5785104,0.26440093,0,2.497e-05,0,58.23379193,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000272",0.580561775878858,0.0643728139946343,28.92852534,3.38305134,3.00696849,0,0,0,1e-07,64.68145473,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000270",0.576121271360965,0.419163341745657,32.51894807,1.77216314,5.36611452,1.43272066,1e-08,2.16127526,0.0965025,56.65227585,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000296",0.545813119236428,0.000711936903946642,16.82840574,1.53e-06,0.20960566,0.87035147,2.43e-06,1.97278895,2.37631491,77.7425293,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","psychrolactophilus","f__Micrococcaceae g__Arthrobacter s__psychrolactophilus"
"bulk soil","asv_000822",0.54453705427976,0.15761106951795,0,0,0.02821992,0.98584155,5.42794549,0,6e-08,93.55799297,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes",NA,"f__Hyphomicrobiaceae g__Rhodoplanes "
"bulk soil","asv_000374",0.537584478061399,0.072800033806462,20.60135465,14.26621771,5.69231718,1.50172052,0,0,4.93e-05,57.93834064,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
