"ASV","relab_sum","shap_p","Year","Month","Species","Rotation","Nitrogen","Block","Rep","Residual","Kingdom","Phylum","Class","Order","Family","Genus","species","taxa"
"asv_001806",0.075311505897909,0.999822328258954,0,0,3.497734,0.00105514,6.78129456,0.51864551,5.135e-05,89.20121944,"Bacteria","Proteobacteria","Betaproteobacteria","A21b","EB1003",NA,NA,"f__EB1003  "
"asv_003767",0.0432147476337679,0.999748112281164,1.921e-05,2.276e-05,9.16864581,4e-08,3e-08,9.08e-06,0.66725116,90.16405191,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium",NA,"f__Phyllobacteriaceae g__Mesorhizobium "
"asv_001195",0.124167152747051,0.998883460997192,0.66310946,3.04299619,1.68e-06,6.82e-06,0.00849617,2.4e-07,0,96.28538944,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae",NA,NA,"f__Micromonosporaceae  "
"asv_000556",0.0667540402084465,0.997933665159539,0.28138055,1.18679022,0.98220403,0,5.88958338,0,0,91.66004181,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"asv_003800",0.0267892096797072,0.997798446097649,2.70672468,19.60198164,0.00026159,0.000934,0,3.913e-05,0.00213401,77.68792496,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",NA,"f__Comamonadaceae g__Delftia "
"asv_003842",0.0265265679106476,0.997597765859625,2.42608879,1.48530973,1.9772898,1.29288279,18.50914631,4.7e-07,5.9e-07,74.30928152,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"asv_000777",0.0498549470338519,0.995977322797623,0.21116621,8.15e-06,7.74341673,3.07850847,1.49337861,0.13184836,0.0003073,87.34136617,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"asv_001428",0.07456702767188,0.995641656766592,8.60351738,1.65e-06,1.9e-07,2e-07,2e-08,2.86e-06,2e-08,91.39647769,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea","agglomerans","f__Enterobacteriaceae g__Pantoea s__agglomerans"
"asv_003389",0.0652354781473792,0.995539840405653,6.04513933,1.8e-07,13.35694105,3.2e-06,2.09e-05,0,0.50711048,80.09078486,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,"f__Comamonadaceae g__Methylibium "
"asv_002753",0.0694087811799157,0.995487424102253,15.95976408,0.75340634,4.056e-05,0.1313344,2.17e-06,1.836e-05,0.63000816,82.52542593,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","mirabilis","f__Streptomycetaceae g__Streptomyces s__mirabilis"
"asv_001161",0.071371744447337,0.995269270500117,5.73435777,0,0.60595648,0.10121313,0,0,0,93.55847261,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"asv_001612",0.0233703302733988,0.994172702415297,0,0,0,1.24050236,0,0,1.54908776,97.21040987,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Paucibacter",NA,"f__Comamonadaceae g__Paucibacter "
"asv_001621",0.0435366705617555,0.994037792824705,7.74576109,1.85891341,1.2085072,0,17.02099608,0.0040488,0.43641637,71.72535704,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"asv_001902",0.0388645479986304,0.992216658879239,0.00083126,0,9.2e-07,0.05349902,2.58226187,0,1.92228126,95.44112566,"Bacteria","Proteobacteria","Betaproteobacteria","A21b","EB1003",NA,NA,"f__EB1003  "
"asv_001915",0.0612434595730087,0.991885250732654,3.91e-06,3.84478795,0.2816495,4.8e-07,7.04117341,4e-08,0,88.83238472,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter",NA,"f__Sinobacteraceae g__Steroidobacter "
"asv_001651",0.0620704523660988,0.991726795697639,0.00037913,2.56e-05,3.47184383,2.57100709,0,3.817e-05,1.42e-05,93.95669198,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae",NA,NA,"f__Intrasporangiaceae  "
"asv_001994",0.0444526080362522,0.991657410772004,5.46634772,5.773e-05,4.60045077,0,9.8874892,0.14885484,0,79.89679975,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"asv_001502",0.0575189031724903,0.991655020572952,12.5919299,3.75560538,1.37099513,1.56393849,1.36221401,0.00282849,0.00086319,79.35162542,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_002919",0.0284416328471273,0.990438718126948,15.39298564,5.71606898,1.64485431,0,4.40519737,0.14705634,0,72.69383737,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
