"ASV","relab_sum","shap_p","Year","Month","Species","Rotation","Nitrogen","Block","Rep","Residual","Kingdom","Phylum","Class","Order","Family","Genus","species","taxa"
"asv_001357",0.224435312640981,0.999749248835527,0.81910746,7.26051756,2.54017898,9.365e-05,2.58632529,0,2.159e-05,86.79375546,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA,NA,"f__Rhodospirillaceae  "
"asv_000927",0.0111339025269148,0.99960214994568,0,6e-08,0,2e-08,2e-07,0,1.1e-07,99.99999961,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Chitinophaga",NA,"f__Chitinophagaceae g__Chitinophaga "
"asv_000799",0.0995898441947705,0.999508892634044,17.06061703,25.11714654,0,1.824e-05,0,0.82637797,0.00022858,56.99561164,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_000718",0.219759782175611,0.99888891097282,11.76869918,2.85839041,0,0.11963683,0.36600997,1.79991007,2.8e-05,83.08732554,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"asv_001685",0.146365893178569,0.998592786991606,3.13790116,0.04378777,8.96e-06,0,2.74e-06,0,0,96.81829938,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA,"f__Nitrospiraceae g__Nitrospira "
"asv_001879",0.110078780499873,0.997753259972542,20.64229884,8.30073881,0,0.79900381,4.5e-07,3.5e-07,0.37391912,69.88403863,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_000238",0.0927192740350807,0.997523068027671,35.21362967,14.2224839,5e-08,1.258e-05,0.09565954,0.06501258,3e-08,50.40320165,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii","f__Pseudomonadaceae g__Pseudomonas s__veronii"
"asv_001760",0.00170336434295876,0.997394532110434,7.1892661,10.57116816,1.20308967,4.7e-07,1.1e-07,2.81475741,6.86e-06,78.22171122,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii","f__Pseudomonadaceae g__Pseudomonas s__veronii"
"asv_002319",0.0999369528676866,0.99708780909269,3.23586563,3.40611456,2.67e-05,8.945e-05,8.6029103,1.94506517,6.026e-05,82.80986793,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_002347",0.0160184732247166,0.99685444623816,2e-07,0,0.30305619,1.728e-05,0.30808919,0,0.03195678,99.35688036,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"f__Caulobacteraceae g__Phenylobacterium "
"asv_000751",0.2472227886227,0.996387639357774,4e-08,0,0,0.07834547,0,0,0,99.92165449,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Microlunatus",NA,"f__Propionibacteriaceae g__Microlunatus "
"asv_000962",0.08633716339567,0.995118440338495,17.00703099,25.00327459,0.00016059,0,5.265e-05,0.81247396,4.399e-05,57.17696322,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_001065",0.017178067194916,0.994681961324467,1.656e-05,1.32673964,0,4.88e-06,6.8e-07,3.487e-05,3.28456495,95.38863842,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"f__Xanthomonadaceae g__Stenotrophomonas "
"asv_000742",0.118718121703573,0.994099941028324,19.23824533,29.63896195,0.25452382,0.57185352,0.05706425,0.51516411,0,49.72418703,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_000992",0.0566398321507679,0.994047269764659,0,1.69467534,0,0,1.247e-05,0,1.747e-05,98.30529472,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"f__Caulobacteraceae g__Phenylobacterium "
"asv_002927",0.00960339951373403,0.993325527458406,3.0504094,4.79731147,9.361e-05,0,0.10757956,0,0.02276536,92.02184059,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA,"f__Oxalobacteraceae g__Herbaspirillum "
"asv_000864",0.0610892050243089,0.992705718654933,17.84798392,6.12816085,0,0,2.5069285,0.25208502,0.42943733,72.83540437,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_000284",0.0285478634406479,0.992415217708102,2.4e-07,0,0,0,0.98839051,0,1.17359563,97.83801362,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"f__Enterobacteriaceae  "
"asv_002556",0.158103432815591,0.99239071597387,0.63369651,2.86594845,1.29496924,1.19e-06,3.02e-06,5.03499369,0.17483135,89.99555655,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"asv_000183",0.177320090612111,0.992373625433687,45.45947624,15.91988927,0.0002313,0.00049111,0.00170955,1.15734386,0.00386888,37.45698979,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii","f__Pseudomonadaceae g__Pseudomonas s__veronii"
"asv_002990",0.095402723718565,0.991914301958514,7.07515354,0.04403501,0.3136597,2.16e-06,0.00017358,0,2.707e-05,92.56694895,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"asv_001427",0.160307182893246,0.991620914159977,0.00176976,3.18700644,0,0.00110605,1.32109818,2.6e-06,0,95.48901697,"Bacteria","Acidobacteria","[Chloracidobacteria]","RB41","Ellin6075",NA,NA,"f__Ellin6075  "
"asv_000215",0.237219895868716,0.991514888924792,44.69037427,16.41706991,1.69e-06,6.2e-07,3.28e-06,1.37962738,0,37.51292285,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii","f__Pseudomonadaceae g__Pseudomonas s__veronii"
"asv_000188",0.171478328088328,0.991141460739663,42.1927961,15.73378327,5.386e-05,0.24066475,1.467e-05,0,3.9e-07,41.83268697,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii","f__Pseudomonadaceae g__Pseudomonas s__veronii"
"asv_001177",0.0245853809467166,0.990587609615887,1.4e-07,3.27009005,0,0,0,2.17502522,2.19474595,92.36013864,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"f__Comamonadaceae  "
"asv_002479",0.0769601085154279,0.990565828136645,13.61944082,6.41555392,0,4.84e-05,5.32139797,1.241e-05,4.3e-07,74.64354606,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"asv_002236",0.103420153211846,0.989925819280079,0,0,1.02428874,0.33778904,3e-08,6.7e-07,0,98.63792153,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae",NA,NA,"f__Myxococcaceae  "
