Sample_ID,Year,Month,Species,Rotation,Nitrogen,Fraction,Block,Rep,ASV_counts,Observed,Shannon,Simpson,InvSimpson,Evenness,asv_001346,asv_002099,asv_001060,asv_001681,asv_001149,asv_001363,asv_000650,asv_001021,asv_000556,asv_001277,asv_001577,asv_003649,asv_001410
USDA_161,2017,Jun,Soybean,rotated,Low_N,Rhizosphere,1,1,15158,246,5.093653398664909,0.9914359353761176,116.76698436059564,12.737172288109004,0,0,0.11993243243243243,0.12837837837837837,0,0,0,0,0,0,0.15878378378378377,0,0.12331081081081081
USDA_162,2017,Jun,Soybean,rotated,Low_N,Rhizosphere,1,2,11893,281,5.399640298846628,0.9944709280950863,180.86218034373718,19.728802315619475,0,0,0.09937888198757763,0,0,0,0,0,0,0,0.2468944099378882,0.046583850931677016,0.059006211180124224
USDA_163,2017,Jun,Soybean,rotated,Std_N,Rhizosphere,1,1,8974,259,5.403113178038561,0.9948366300407054,193.67196383050359,21.126118690087544,0,0,0.055133079847908745,0,0,0,0,0,0,0,0.053231939163498096,0.026615969581749048,0.11406844106463879
USDA_164,2017,Jun,Soybean,rotated,Std_N,Rhizosphere,1,2,8474,241,5.376416099649791,0.9949321444110737,197.32211829103417,21.52428471703923,0,0,0,0,0,0,0.3630229419703104,0,0,0.08232118758434548,0,0.03913630229419703,0.07017543859649122
USDA_165,2017,Jun,Soybean,continuous,Low_N,Rhizosphere,1,1,1846,49,3.710400866339635,0.9712170849918245,34.7428326740345,3.789816513369302,0,0,0,0,0,0,0,0,0,0,0,1,0
USDA_166,2017,Jun,Soybean,continuous,Low_N,Rhizosphere,1,2,6094,185,5.077963576219129,0.9929614359176964,142.0744328398179,15.497758537873242,0,0,0,0,0,0,0,0,0,0.3896499238964992,0,0,0.0593607305936073
USDA_167,2017,Jun,Soybean,continuous,Std_N,Rhizosphere,1,1,5948,184,5.0613399613365395,0.9924521260021283,132.48763827827167,14.452012133701075,0,0,0,0.05789473684210526,0,0,0,0,0,0.3,0,0,0
USDA_168,2017,Jun,Soybean,continuous,Std_N,Rhizosphere,1,2,7985,247,5.325811337593887,0.9943846026264807,178.08178717960894,19.4255115613527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USDA_169,2017,Jun,Corn,rotated,Low_N,Rhizosphere,1,1,6379,183,5.072339434175636,0.9929426046002913,141.69533423637685,15.456405716674242,0.08986175115207373,0,0.08986175115207373,0.1336405529953917,0,0,0,0,0,0,0.12672811059907835,0,0
USDA_170,2017,Jun,Corn,rotated,Low_N,Rhizosphere,1,2,8860,256,5.340188005815572,0.9943360985278906,176.55674360231572,19.2591568087895,0.10434782608695652,0,0,0.31521739130434784,0,0,0,0,0,0,0,0,0
USDA_171,2017,Jun,Corn,rotated,Std_N,Rhizosphere,1,1,4424,101,4.478584463872432,0.9872689121314284,78.54788297146527,8.568157546863901,0.14929577464788732,0,0.14084507042253522,0,0,0,0.3464788732394366,0,0,0,0,0,0
USDA_172,2017,Jun,Corn,rotated,Std_N,Rhizosphere,1,2,3723,79,4.254541047019328,0.9843460614517462,63.88168683027998,6.968340029229043,0.41568627450980394,0,0,0,0,0,0,0.20392156862745098,0,0,0,0,0
USDA_177,2017,Jun,Corn,continuous,Low_N,Rhizosphere,1,1,10892,243,5.315244276579995,0.9942730374906487,174.61263250233287,19.047089346712752,0.5079825834542816,0,0,0.10159651669085631,0,0,0.06531204644412192,0,0,0,0,0,0
USDA_178,2017,Jun,Corn,continuous,Low_N,Rhizosphere,1,2,9218,214,5.107491497290946,0.9919362867965037,124.01234701234408,13.527510694898355,0.9301634472511144,0,0,0,0.06983655274888559,0,0,0,0,0,0,0,0
USDA_179,2017,Jun,Corn,continuous,Std_N,Rhizosphere,1,1,3803,128,4.716950891804138,0.9898829473582899,98.84301638179073,10.781990611689606,0,0,0.04726976365118175,0,0,0,0.8924205378973105,0,0,0,0,0,0
USDA_180,2017,Jun,Corn,continuous,Std_N,Rhizosphere,1,2,8005,247,5.35060070157805,0.9945311038814357,182.85225726001363,19.945883819333943,0.5218274111675127,0,0.04263959390862944,0.1431472081218274,0,0,0.22741116751269036,0,0,0,0,0,0
USDA_181,2017,Jun,Corn,rotated,Low_N,Rhizosphere,2,1,2675,70,4.086645851650953,0.9809675604856319,52.541871957353386,5.731370722000201,0,0,0,0,0,0,0,0,0,0,0,0,0
USDA_182,2017,Jun,Corn,rotated,Low_N,Rhizosphere,2,2,3462,91,4.3612644929366935,0.9855060855484369,68.994473738746,7.5260528800157935,0,0,0,0,0,0,0,0,0,0,0.4915254237288136,0,0
USDA_183,2017,Jun,Corn,rotated,Std_N,Rhizosphere,2,1,3663,102,4.465717650870258,0.986876832904679,76.20111766743715,8.312167772349781,0,0,0,0,0,0,0.4088888888888889,0.4911111111111111,0,0,0.1,0,0
