Sample_ID,Year,Month,Species,Rotation,Nitrogen,Fraction,Block,Rep,ASV_counts,Observed,Shannon,Simpson,InvSimpson,Evenness
USDA_121,2017,Jun,Soybean,rotated,Low_N,Endosphere,1,1,21980,67,3.732249615045297,0.9720229201664844,35.743544571154025,3.8989761351080054
USDA_122,2017,Jun,Soybean,rotated,Low_N,Endosphere,1,2,23496,38,3.5237262211886557,0.9686561808302349,31.904216731974348,3.480174703984745
USDA_123,2017,Jun,Soybean,rotated,Std_N,Endosphere,1,1,407,16,2.6189443967427235,0.9178081364813552,12.16665442526625,1.3271625916614496
USDA_124,2017,Jun,Soybean,rotated,Std_N,Endosphere,1,2,5318,37,3.5449190520776264,0.9694512141738072,32.734525217777794,3.5707463865015914
USDA_125,2017,Jun,Soybean,continuous,Low_N,Endosphere,1,1,11206,39,3.546217831775047,0.9688833322731388,32.1371172767564,3.50557995343199
USDA_126,2017,Jun,Soybean,continuous,Low_N,Endosphere,1,2,83,1,0,0,1,0.10908196660088885
USDA_127,2017,Jun,Soybean,continuous,Std_N,Endosphere,1,1,11501,43,3.5989077467766837,0.971158672055834,34.67246729886716,3.7821409198654385
USDA_128,2017,Jun,Soybean,continuous,Std_N,Endosphere,1,2,10257,39,3.534591573725767,0.96895207993221,32.20827668380363,3.513342161494855
USDA_129,2017,Jun,Corn,rotated,Low_N,Endosphere,1,1,721,26,3.1159940482284267,0.9502520963140653,20.101349522446927,2.1926947372403487
USDA_130,2017,Jun,Corn,rotated,Low_N,Endosphere,1,2,983,30,3.234677844175583,0.9556167978731,22.531046704129455,2.457730884062916
USDA_131,2017,Jun,Corn,rotated,Std_N,Endosphere,1,1,739,25,3.017618803972615,0.9434319500623488,17.677823455151653,1.9283317477112623
USDA_132,2017,Jun,Corn,rotated,Std_N,Endosphere,1,2,297,9,2.08149070932849,0.8617941479894342,7.235583627266016,0.7892716915673698
USDA_137,2017,Jun,Corn,continuous,Low_N,Endosphere,1,1,870,24,3.066352947062034,0.949456995640111,19.78513174404015,2.1582010800975735
USDA_138,2017,Jun,Corn,continuous,Low_N,Endosphere,1,2,449,17,2.6912468349769894,0.9264140554858359,13.589551735760027,1.4823750285612265
USDA_139,2017,Jun,Corn,continuous,Std_N,Endosphere,1,1,204,7,1.634424290808556,0.7641291810841984,4.23960880195599,0.4624648657357977
USDA_140,2017,Jun,Corn,continuous,Std_N,Endosphere,1,2,1064,37,3.510780524378913,0.9674108909491774,30.685097847888546,3.347190818588385
USDA_141,2017,Jun,Corn,rotated,Low_N,Endosphere,2,1,245,9,2.0285917418380497,0.8512786339025407,6.72398342108211,0.7334653349634092
USDA_142,2017,Jun,Corn,rotated,Low_N,Endosphere,2,2,42,3,0.9829007277151565,0.5941043083900226,2.4636871508379885,0.2687438395027485
USDA_143,2017,Jun,Corn,rotated,Std_N,Endosphere,2,1,2284,69,4.083671720870694,0.9811419422710641,53.02773034073352,5.784369109948834
USDA_144,2017,Jun,Corn,rotated,Std_N,Endosphere,2,2,2340,39,3.518432427536669,0.966774417415443,30.09729016654757,3.2830716007246026
USDA_149,2017,Jun,Corn,continuous,Low_N,Endosphere,2,1,33,1,0,0,1,0.10908196660088885
USDA_150,2017,Jun,Corn,continuous,Low_N,Endosphere,2,2,95,3,0.9910502845487692,0.6032132963988919,2.520245741413013,0.27491336179084663
USDA_151,2017,Jun,Corn,continuous,Std_N,Endosphere,2,1,54,1,0,0,1,0.10908196660088885
USDA_152,2017,Jun,Corn,continuous,Std_N,Endosphere,2,2,120,8,1.8680667804038442,0.8108333333333333,5.286343612334801,0.5766447573615269
