SampleID	Site	Crop	Plot	Depth	Core_Depth	Crop_Depth	Site_Depth	Crop_Depth_Site	Type
Iowa1	Ames	Corn	108	0-15	1	Corn_0-15	Ames_0-15	Corn_0-15_Ames	Sample
Iowa2	Ames	Corn	108	15-30	2	Corn_15-30	Ames_15-30	Corn_15-30_Ames	Sample
Iowa3	Ames	Corn	108	30-60	3	Corn_30-60	Ames_30-60	Corn_30-60_Ames	Sample
Iowa4	Ames	Corn	108	60-90	4	Corn_60-90	Ames_60-90	Corn_60-90_Ames	Sample
Iowa5	Ames	Corn	108	90-120	5	Corn_90-120	Ames_90-120	Corn_90-120_Ames	Sample
Iowa6	Ames	Corn	108	120-150	6	Corn_120-150	Ames_120-150	Corn_120-150_Ames	Sample
Iowa7	Ames	Corn	108	150-180	7	Corn_150-180	Ames_150-180	Corn_150-180_Ames	Sample
Iowa8	Ames	Corn	109	0-15	1	Corn_0-15	Ames_0-15	Corn_0-15_Ames	Sample
Iowa9	Ames	Corn	109	15-30	2	Corn_15-30	Ames_15-30	Corn_15-30_Ames	Sample
Iowa10	Ames	Corn	109	30-60	3	Corn_30-60	Ames_30-60	Corn_30-60_Ames	Sample
Iowa11	Ames	Corn	109	60-90	4	Corn_60-90	Ames_60-90	Corn_60-90_Ames	Sample
Iowa12	Ames	Corn	109	90-120	5	Corn_90-120	Ames_90-120	Corn_90-120_Ames	Sample
Iowa13	Ames	Corn	109	120-150	6	Corn_120-150	Ames_120-150	Corn_120-150_Ames	Sample
Iowa14	Ames	Corn	109	150-180	7	Corn_150-180	Ames_150-180	Corn_150-180_Ames	Sample
Iowa15	Ames	Corn	112	0-15	1	Corn_0-15	Ames_0-15	Corn_0-15_Ames	Sample
Iowa16	Ames	Corn	112	15-30	2	Corn_15-30	Ames_15-30	Corn_15-30_Ames	Sample
Iowa17	Ames	Corn	112	30-60	3	Corn_30-60	Ames_30-60	Corn_30-60_Ames	Sample
Iowa18	Ames	Corn	112	60-90	4	Corn_60-90	Ames_60-90	Corn_60-90_Ames	Sample
Iowa19	Ames	Corn	112	90-120	5	Corn_90-120	Ames_90-120	Corn_90-120_Ames	Sample
Iowa20	Ames	Corn	112	120-150	6	Corn_120-150	Ames_120-150	Corn_120-150_Ames	Sample
Iowa21	Ames	Corn	112	150-180	7	Corn_150-180	Ames_150-180	Corn_150-180_Ames	Sample
Iowa22	COBS	Corn	11	0-15	1	Corn_0-15	COBS_0-15	Corn_0-15_COBS	Sample
Iowa23	COBS	Corn	11	15-30	2	Corn_15-30	COBS_15-30	Corn_15-30_COBS	Sample
Iowa24	COBS	Corn	11	30-60	3	Corn_30-60	COBS_30-60	Corn_30-60_COBS	Sample
Iowa25	COBS	Corn	11	60-90	4	Corn_60-90	COBS_60-90	Corn_60-90_COBS	Sample
Iowa26	COBS	Corn	11	90-120	5	Corn_90-120	COBS_90-120	Corn_90-120_COBS	Sample
Iowa27	COBS	Corn	11	120-150	6	Corn_120-150	COBS_120-150	Corn_120-150_COBS	Sample
Iowa28	COBS	Corn	11	150-180	7	Corn_150-180	COBS_150-180	Corn_150-180_COBS	Sample
Iowa29	COBS	Corn	26	0-15	1	Corn_0-15	COBS_0-15	Corn_0-15_COBS	Sample
Iowa30	COBS	Corn	26	15-30	2	Corn_15-30	COBS_15-30	Corn_15-30_COBS	Sample
Iowa31	COBS	Corn	26	30-60	3	Corn_30-60	COBS_30-60	Corn_30-60_COBS	Sample
Iowa32	COBS	Corn	26	60-90	4	Corn_60-90	COBS_60-90	Corn_60-90_COBS	Sample
Iowa33	COBS	Corn	26	90-120	5	Corn_90-120	COBS_90-120	Corn_90-120_COBS	Sample
Iowa35	COBS	Corn	26	150-180	7	Corn_150-180	COBS_150-180	Corn_150-180_COBS	Sample
Iowa36	COBS	Corn	44	0-15	1	Corn_0-15	COBS_0-15	Corn_0-15_COBS	Sample
Iowa37	COBS	Corn	44	15-30	2	Corn_15-30	COBS_15-30	Corn_15-30_COBS	Sample
Iowa38	COBS	Corn	44	30-60	3	Corn_30-60	COBS_30-60	Corn_30-60_COBS	Sample
Iowa39	COBS	Corn	44	60-90	4	Corn_60-90	COBS_60-90	Corn_60-90_COBS	Sample
Iowa40	COBS	Corn	44	90-120	5	Corn_90-120	COBS_90-120	Corn_90-120_COBS	Sample
Iowa41	COBS	Corn	44	120-150	6	Corn_120-150	COBS_120-150	Corn_120-150_COBS	Sample
Iowa43	Ames	Soybean	101	0-15	1	Soybean_0-15	Ames_0-15	Soybean_0-15_Ames	Sample
Iowa44	Ames	Soybean	101	15-30	2	Soybean_15-30	Ames_15-30	Soybean_15-30_Ames	Sample
Iowa45	Ames	Soybean	101	30-60	3	Soybean_30-60	Ames_30-60	Soybean_30-60_Ames	Sample
Iowa46	Ames	Soybean	101	60-90	4	Soybean_60-90	Ames_60-90	Soybean_60-90_Ames	Sample
Iowa47	Ames	Soybean	101	90-120	5	Soybean_90-120	Ames_90-120	Soybean_90-120_Ames	Sample
