	Iowa101	Iowa106	Iowa107	Iowa108	Iowa109	Iowa10	Iowa113	Iowa114	Iowa115	Iowa116	Iowa117	Iowa11	Iowa120	Iowa121	Iowa122	Iowa123	Iowa126	Iowa12	Iowa13	Iowa14	Iowa15	Iowa16	Iowa17	Iowa18	Iowa19	Iowa1	Iowa20	Iowa21	Iowa22	Iowa23	Iowa24	Iowa25	Iowa26	Iowa27	Iowa28	Iowa29	Iowa2	Iowa30	Iowa31	Iowa32	Iowa33	Iowa35	Iowa36	Iowa37	Iowa38	Iowa39	Iowa3	Iowa40	Iowa41	Iowa43	Iowa44	Iowa45	Iowa46	Iowa47	Iowa49	Iowa4	Iowa50	Iowa51	Iowa52	Iowa56	Iowa57	Iowa58	Iowa59	Iowa5	Iowa60	Iowa61	Iowa64	Iowa65	Iowa66	Iowa67	Iowa68	Iowa6	Iowa71	Iowa72	Iowa73	Iowa74	Iowa77	Iowa78	Iowa79	Iowa7	Iowa80	Iowa81	Iowa85	Iowa86	Iowa87	Iowa88	Iowa89	Iowa8	Iowa90	Iowa91	Iowa92	Iowa93	Iowa94	Iowa97	Iowa99	Iowa9
Iowa101	0.0	0.81747611465	0.594347133758	0.604299363057	0.68949044586	0.727308917197	0.867834394904	0.750398089172	0.693272292994	0.751393312102	0.886146496815	0.819665605096	0.802348726115	0.71476910828	0.72074044586	0.827428343949	0.917794585987	0.959593949045	0.980294585987	0.983479299363	0.877388535032	0.770700636943	0.62300955414	0.707603503185	0.861863057325	0.877587579618	0.942078025478	0.987460191083	0.905453821656	0.893511146497	0.836186305732	0.759753184713	0.829816878981	0.919585987261	0.990047770701	0.879378980892	0.811902866242	0.790406050955	0.855095541401	0.798765923567	0.914410828025	0.992635350318	0.880573248408	0.689689490446	0.714371019108	0.807722929936	0.752587579618	0.966361464968	0.991042993631	0.897691082803	0.797372611465	0.728304140127	0.679538216561	0.853901273885	0.992834394904	0.752786624204	0.847929936306	0.705613057325	0.669585987261	0.988256369427	0.859872611465	0.833200636943	0.728304140127	0.940883757962	0.778861464968	0.992237261146	0.766520700637	0.714171974522	0.607882165605	0.625	0.97472133758	0.961385350318	0.875796178344	0.850318471338	0.702030254777	0.804936305732	0.983479299363	0.868431528662	0.842157643312	0.983678343949	0.606289808917	0.753781847134	0.895103503185	0.647093949045	0.556727707006	0.653463375796	0.793590764331	0.885350318471	0.981886942675	0.931926751592	0.805334394904	0.80752388535	0.65326433121	0.983479299363	0.850318471338	0.817277070064
Iowa106	0.81747611465	0.0	0.725318471338	0.854498407643	0.864450636943	0.855294585987	0.601512738854	0.627786624204	0.846934713376	0.899681528662	0.86902866242	0.90824044586	0.653463375796	0.780453821656	0.852308917197	0.93949044586	0.924960191083	0.983479299363	0.986464968153	0.986066878981	0.782643312102	0.629777070064	0.820461783439	0.879578025478	0.937300955414	0.815684713376	0.966361464968	0.993630573248	0.698845541401	0.694665605096	0.767714968153	0.810907643312	0.891719745223	0.962977707006	0.995820063694	0.690087579618	0.759156050955	0.662818471338	0.84275477707	0.880374203822	0.96377388535	0.998805732484	0.78125	0.726711783439	0.862460191083	0.899084394904	0.772093949045	0.979697452229	0.99701433121	0.834792993631	0.661027070064	0.761743630573	0.870421974522	0.950039808917	0.99900477707	0.899084394904	0.738853503185	0.767117834395	0.858280254777	0.994824840764	0.680334394904	0.738057324841	0.698845541401	0.969148089172	0.914012738854	0.999402866242	0.561106687898	0.565883757962	0.787818471338	0.863057324841	0.990047770701	0.964570063694	0.779657643312	0.732683121019	0.776074840764	0.934116242038	0.987858280255	0.745421974522	0.72372611465	0.986464968153	0.808917197452	0.888136942675	0.731488853503	0.707603503185	0.851910828025	0.903463375796	0.926353503185	0.81449044586	0.997213375796	0.881369426752	0.478901273885	0.385151273885	0.805334394904	0.989848726115	0.525477707006	0.746815286624
Iowa107	0.594347133758	0.725318471338	0.0	0.597133757962	0.690286624204	0.698049363057	0.840366242038	0.599920382166	0.648487261146	0.793192675159	0.879378980892	0.829617834395	0.708996815287	0.59972133758	0.682722929936	0.859076433121	0.913614649682	0.964570063694	0.982683121019	0.985668789809	0.855095541401	0.718949044586	0.609076433121	0.719148089172	0.861265923567	0.868431528662	0.93849522293	0.987659235669	0.888136942675	0.885151273885	0.865047770701	0.804339171975	0.811106687898	0.93152866242	0.990843949045	0.855692675159	0.817874203822	0.792197452229	0.864450636943	0.838375796178	0.913017515924	0.994625796178	0.859474522293	0.638933121019	0.692675159236	0.800756369427	0.768710191083	0.962977707006	0.993431528662	0.883558917197	0.801751592357	0.787022292994	0.710788216561	0.881369426752	0.998407643312	0.776074840764	0.809116242038	0.62798566879	0.664808917197	0.986464968153	0.841162420382	0.846138535032	0.728304140127	0.947054140127	0.833797770701	0.997611464968	0.72472133758	0.591162420382	0.514729299363	0.658439490446	0.977109872611	0.955613057325	0.859474522293	0.833996815287	0.710987261146	0.831608280255	0.990644904459	0.844347133758	0.837380573248	0.983280254777	0.621218152866	0.75597133758	0.862261146497	0.483479299363	0.616242038217	0.766918789809	0.842555732484	0.867237261146	0.989649681529	0.919984076433	0.759355095541	0.737062101911	0.603702229299	0.985867834395	0.820859872611	0.769307324841
Iowa108	0.604299363057	0.854498407643	0.597133757962	0.0	0.587977707006	0.680931528662	0.911823248408	0.768312101911	0.62599522293	0.699243630573	0.902866242038	0.769307324841	0.819665605096	0.707404458599	0.666202229299	0.796576433121	0.923964968153	0.93849522293	0.969148089172	0.973128980892	0.87898089172	0.806130573248	0.639928343949	0.666600318471	0.817675159236	0.890923566879	0.918590764331	0.975119426752	0.930732484076	0.925358280255	0.899880573248	0.824641719745	0.793192675159	0.910031847134	0.980095541401	0.915605095541	0.84275477707	0.851512738854	0.885350318471	0.795979299363	0.884156050955	0.987460191083	0.916799363057	0.719944267516	0.673964968153	0.761345541401	0.787619426752	0.951234076433	0.984673566879	0.901671974522	0.841560509554	0.801751592357	0.649084394904	0.835788216561	0.989848726115	0.712380573248	0.847929936306	0.724920382166	0.636942675159	0.978901273885	0.891321656051	0.87997611465	0.770302547771	0.922969745223	0.742834394904	0.987460191083	0.833200636943	0.779856687898	0.62699044586	0.611066878981	0.960191082803	0.950238853503	0.910828025478	0.891918789809	0.736265923567	0.774681528662	0.985867834395	0.892515923567	0.892515923567	0.971934713376	0.639928343949	0.706210191083	0.915605095541	0.691281847134	0.608877388535	0.652468152866	0.742834394904	0.891520700637	0.971337579618	0.926751592357	0.860270700637	0.858081210191	0.634156050955	0.973925159236	0.904458598726	0.805732484076
Iowa109	0.68949044586	0.864450636943	0.690286624204	0.587977707006	0.0	0.675557324841	0.919187898089	0.775079617834	0.664609872611	0.648288216561	0.927149681529	0.686106687898	0.816878980892	0.732484076433	0.613654458599	0.724323248408	0.936106687898	0.892914012739	0.956807324841	0.96675955414	0.859076433121	0.800159235669	0.68152866242	0.638335987261	0.718351910828	0.86803343949	0.84375	0.958399681529	0.932125796178	0.923765923567	0.905851910828	0.84574044586	0.713176751592	0.861066878981	0.96775477707	0.910828025478	0.81449044586	0.863057324841	0.872412420382	0.773686305732	0.835390127389	0.977507961783	0.892117834395	0.738654458599	0.660828025478	0.677348726115	0.78722133758	0.924960191083	0.980692675159	0.886743630573	0.821058917197	0.816679936306	0.633757961783	0.766122611465	0.996218152866	0.670979299363	0.829617834395	0.718351910828	0.685708598726	0.96875	0.894506369427	0.888535031847	0.801552547771	0.891520700637	0.739649681529	0.990445859873	0.843152866242	0.810907643312	0.695262738854	0.66122611465	0.943670382166	0.925557324841	0.890923566879	0.888734076433	0.767515923567	0.736464968153	0.993232484076	0.880374203822	0.892117834395	0.954418789809	0.681926751592	0.662022292994	0.929538216561	0.759753184713	0.736066878981	0.656847133758	0.664211783439	0.870222929936	0.970342356688	0.921576433121	0.864848726115	0.862062101911	0.681926751592	0.986863057325	0.908439490446	0.788614649682
Iowa10	0.727308917197	0.855294585987	0.698049363057	0.680931528662	0.675557324841	0.0	0.920183121019	0.654458598726	0.602308917197	0.744426751592	0.939291401274	0.625398089172	0.796775477707	0.643710191083	0.664808917197	0.81847133758	0.933320063694	0.911425159236	0.958200636943	0.972929936306	0.861265923567	0.770899681529	0.556130573248	0.609872611465	0.777667197452	0.868829617834	0.886345541401	0.97074044586	0.929737261146	0.921377388535	0.889530254777	0.843351910828	0.747213375796	0.895302547771	0.967953821656	0.906847133758	0.806329617834	0.847332802548	0.880573248408	0.800159235669	0.889331210191	0.991242038217	0.898089171975	0.647691082803	0.626791401274	0.764530254777	0.767316878981	0.948049363057	0.988654458599	0.890326433121	0.816878980892	0.80951433121	0.654856687898	0.862659235669	0.998606687898	0.734872611465	0.831409235669	0.608081210191	0.564291401274	0.97273089172	0.890525477707	0.866242038217	0.761743630573	0.936106687898	0.80652866242	0.99800955414	0.831807324841	0.758757961783	0.655652866242	0.678542993631	0.961982484076	0.945063694268	0.897691082803	0.886345541401	0.75497611465	0.826632165605	0.995621019108	0.886942675159	0.900875796178	0.968949044586	0.644506369427	0.713972929936	0.927746815287	0.657643312102	0.718949044586	0.71775477707	0.777070063694	0.860270700637	0.979100318471	0.94446656051	0.858280254777	0.85071656051	0.574243630573	0.991042993631	0.906449044586	0.734275477707
Iowa113	0.867834394904	0.601512738854	0.840366242038	0.911823248408	0.919187898089	0.920183121019	0.0	0.824641719745	0.920382165605	0.925159235669	0.90625	0.94048566879	0.788813694268	0.878781847134	0.917794585987	0.949840764331	0.945660828025	0.984076433121	0.987659235669	0.980095541401	0.823248407643	0.751393312102	0.899084394904	0.926353503185	0.953423566879	0.832603503185	0.96775477707	0.994824840764	0.62400477707	0.684912420382	0.813296178344	0.835589171975	0.93252388535	0.964968152866	0.995421974522	0.641321656051	0.803343949045	0.740644904459	0.854498407643	0.911823248408	0.96277866242	0.998606687898	0.737261146497	0.8125	0.923566878981	0.920581210191	0.831210191083	0.981687898089	0.99900477707	0.853503184713	0.74601910828	0.815883757962	0.929140127389	0.958200636943	0.999800955414	0.9375	0.836584394904	0.86902866242	0.935111464968	0.994227707006	0.663813694268	0.763933121019	0.789012738854	0.97472133758	0.945859872611	1.0	0.651472929936	0.741441082803	0.878184713376	0.919984076433	0.990843949045	0.973925159236	0.762738853503	0.726512738854	0.834593949045	0.952826433121	0.986664012739	0.732484076433	0.694864649682	0.989450636943	0.889928343949	0.932722929936	0.611863057325	0.846934713376	0.918391719745	0.93550955414	0.945262738854	0.864450636943	0.997412420382	0.915804140127	0.612261146497	0.622810509554	0.890326433121	0.984474522293	0.523885350318	0.865843949045
Iowa114	0.750398089172	0.627786624204	0.599920382166	0.768312101911	0.775079617834	0.654458598726	0.824641719745	0.0	0.647093949045	0.826831210191	0.879777070064	0.846337579618	0.609872611465	0.528463375796	0.717953821656	0.891122611465	0.895501592357	0.976512738854	0.986664012739	0.990445859873	0.81050955414	0.680135350318	0.672969745223	0.792396496815	0.891918789809	0.815087579618	0.954418789809	0.995222929936	0.881568471338	0.879378980892	0.883558917197	0.859076433121	0.852308917197	0.950039808917	0.996417197452	0.858678343949	0.798168789809	0.800955414013	0.893312101911	0.866441082803	0.945262738854	0.999203821656	0.861066878981	0.564689490446	0.680732484076	0.826632165605	0.805334394904	0.976910828025	0.998407643312	0.834195859873	0.75398089172	0.810907643312	0.766719745223	0.907444267516	0.999601910828	0.809713375796	0.727308917197	0.523089171975	0.647890127389	0.995820063694	0.834394904459	0.862659235669	0.749800955414	0.953025477707	0.862261146497	0.999402866242	0.708001592357	0.604896496815	0.665007961783	0.784633757962	0.988256369427	0.967953821656	0.855891719745	0.852109872611	0.758957006369	0.873805732484	0.992237261146	0.839570063694	0.853304140127	0.990445859873	0.685708598726	0.807125796178	0.866839171975	0.528463375796	0.776472929936	0.846337579618	0.889132165605	0.795581210191	0.99502388535	0.928941082803	0.692675159236	0.649681528662	0.612062101911	0.992834394904	0.800955414013	0.680135350318
Iowa115	0.693272292994	0.846934713376	0.648487261146	0.62599522293	0.664609872611	0.602308917197	0.920382165605	0.647093949045	0.0	0.692675159236	0.909832802548	0.776671974522	0.792595541401	0.539211783439	0.584195859873	0.781449044586	0.931329617834	0.931926751592	0.979100318471	0.982085987261	0.871815286624	0.789012738854	0.628582802548	0.68152866242	0.83877388535	0.891719745223	0.923566878981	0.967555732484	0.931130573248	0.928343949045	0.901671974522	0.842953821656	0.802945859873	0.903662420382	0.974124203822	0.916998407643	0.835987261146	0.856289808917	0.876194267516	0.813296178344	0.901074840764	0.989251592357	0.896297770701	0.600119426752	0.581210191083	0.759753184713	0.784036624204	0.962977707006	0.987460191083	0.90724522293	0.839968152866	0.810907643312	0.65127388535	0.857285031847	0.995621019108	0.68550955414	0.832802547771	0.605493630573	0.461982484076	0.969944267516	0.896496815287	0.883757961783	0.754179936306	0.931727707006	0.721934713376	0.99502388535	0.83777866242	0.744227707006	0.646695859873	0.695063694268	0.97571656051	0.934912420382	0.912818471338	0.903861464968	0.752786624204	0.793988853503	0.992237261146	0.895103503185	0.902070063694	0.967555732484	0.592953821656	0.676154458599	0.918192675159	0.63097133758	0.668988853503	0.734076433121	0.791600318471	0.884952229299	0.986066878981	0.941281847134	0.845143312102	0.845342356688	0.493630573248	0.985270700637	0.908439490446	0.78722133758
Iowa116	0.751393312102	0.899681528662	0.793192675159	0.699243630573	0.648288216561	0.744426751592	0.925159235669	0.826831210191	0.692675159236	0.0	0.901074840764	0.727308917197	0.861066878981	0.791998407643	0.645899681529	0.69347133758	0.927746815287	0.905652866242	0.93949044586	0.946058917197	0.883160828025	0.838176751592	0.747611464968	0.704418789809	0.789609872611	0.882563694268	0.90625	0.948447452229	0.932921974522	0.935310509554	0.911425159236	0.865644904459	0.803542993631	0.867237261146	0.954219745223	0.916998407643	0.836186305732	0.875398089172	0.882762738854	0.797372611465	0.843550955414	0.958797770701	0.900477707006	0.788813694268	0.69247611465	0.737460191083	0.80951433121	0.919785031847	0.961982484076	0.897492038217	0.849522292994	0.818272292994	0.640326433121	0.808121019108	0.968152866242	0.653662420382	0.866042993631	0.782444267516	0.717356687898	0.952229299363	0.899084394904	0.886743630573	0.802348726115	0.888933121019	0.685907643312	0.96775477707	0.867436305732	0.859275477707	0.777468152866	0.733479299363	0.94048566879	0.905453821656	0.901472929936	0.896297770701	0.77925955414	0.738256369427	0.960987261146	0.890923566879	0.918789808917	0.945859872611	0.726114649682	0.692874203822	0.936106687898	0.810708598726	0.757563694268	0.703423566879	0.718949044586	0.893710191083	0.950437898089	0.918988853503	0.887937898089	0.894904458599	0.742635350318	0.96576433121	0.919785031847	0.850119426752
